ticker,date,open,high,low,close,volume,adjustedClose
^BVSP,08/02/2021 10:00,120239,120844,119140,119516,8619100,119516
^BVSP,09/02/2021 10:00,119696,119975,118246,119429,7913500,119429
^BVSP,10/02/2021 10:00,119472,119738,117970,118430,8644600,118430
^BVSP,11/02/2021 10:00,118440,120283,118440,119235,7567400,119235
^BVSP,12/02/2021 19:05,119300,119763,118163,119116,7655900,119116
^BVSP,17/02/2021 13:00,119421,120573,118880,120391,8326100,120391
^BVSP,18/02/2021 10:00,120361,120845,118515,119140,10720600,119140
^BVSP,19/02/2021 10:00,119199,119250,117867,118748,10402800,118748
^BVSP,22/02/2021 10:00,118388,118388,111650,112668,21768700,112668
^BVSP,23/02/2021 10:00,112676,115380,112667,115227,15174900,115227
^BVSP,24/02/2021 10:00,115229,116208,114668,115668,11399300,115668
^BVSP,25/02/2021 10:00,115668,116506,111764,112256,12466500,112256
^BVSP,26/02/2021 10:00,112260,113466,109827,110035,14618500,110035
^BVSP,01/03/2021 10:00,110036,112445,110036,110335,11239900,110335
^BVSP,02/03/2021 10:00,110328,112428,107319,111540,14823200,111540
^BVSP,03/03/2021 10:00,111529,112398,107466,111184,15144300,111184
^BVSP,04/03/2021 10:00,111191,114433,111163,112690,14221600,112690
^BVSP,05/03/2021 10:00,112690,115504,112504,115202,13254800,115202
^BVSP,08/03/2021 10:00,115202,115202,110268,110612,0,110612
^BVSP,09/03/2021 10:00,110611,112525,109343,111331,12135300,111331
^BVSP,10/03/2021 10:00,111331,112928,109999,112776,12511800,112776
^BVSP,11/03/2021 10:00,112782,115127,112776,114984,12092100,114984
^BVSP,12/03/2021 19:05,114984,114984,113253,114160,8110700,114160
^BVSP,15/03/2021 10:00,114093,114903,113635,114851,8224700,114851
^BVSP,16/03/2021 10:00,114845,114974,113370,114019,78000,114019
^BVSP,17/03/2021 10:00,114018,116736,113428,116549,94300,116549
^BVSP,18/03/2021 10:00,116549,116751,114302,114835,9920100,114835
^BVSP,19/03/2021 10:00,114837,116446,114610,116222,12341800,116222
^BVSP,22/03/2021 10:00,116222,116225,113620,114979,8160600,114979
^BVSP,23/03/2021 10:00,114977,115599,113062,113262,8301500,113262
^BVSP,24/03/2021 10:00,113272,114823,112064,112064,9834000,112064
^BVSP,25/03/2021 10:00,112065,114024,110927,113750,10306500,113750
^BVSP,26/03/2021 10:00,113750,115416,113305,114781,8659500,114781
^BVSP,29/03/2021 10:00,114776,115553,114096,115419,7463300,115419
^BVSP,30/03/2021 10:00,115414,117090,114999,116850,8141600,116850
^BVSP,31/03/2021 10:00,116850,117249,115932,116634,10659200,116634
^BVSP,01/04/2021 10:00,116644,117088,114991,115253,8009200,115253
^BVSP,05/04/2021 10:00,115262,117668,115262,117518,7245100,117518
^BVSP,06/04/2021 10:00,117519,118213,117176,117499,6800800,117499
^BVSP,07/04/2021 10:00,117499,118303,116748,117624,0,117624
^BVSP,08/04/2021 10:00,117624,118850,117486,118313,8778200,118313
^BVSP,09/04/2021 10:00,118313,118643,117336,117670,7739400,117670
^BVSP,12/04/2021 19:05,117661,118812,117661,118812,7000500,118812
^BVSP,13/04/2021 10:00,118809,119529,118041,119297,8977600,119297
^BVSP,14/04/2021 10:00,119298,120871,119298,120295,10076600,120295
^BVSP,15/04/2021 10:00,120290,121409,120084,120701,7948100,120701
^BVSP,16/04/2021 10:00,120701,121333,120199,121114,7945600,121114
^BVSP,19/04/2021 10:00,121116,121974,120682,120934,10028100,120934
^BVSP,20/04/2021 10:00,120925,121354,119841,120062,7811500,120062
^BVSP,22/04/2021 10:00,120064,120995,119203,119371,8598600,119371
^BVSP,23/04/2021 10:00,119372,120815,119372,120530,7615500,120530
^BVSP,26/04/2021 10:00,120534,121393,119860,120595,7095300,120595
^BVSP,27/04/2021 10:00,120595,121012,119003,119388,8362300,119388
^BVSP,28/04/2021 10:00,119392,121276,119392,121053,9081500,121053
^BVSP,29/04/2021 10:00,121053,121498,119703,120066,8500200,120066
^BVSP,30/04/2021 10:00,120064,120125,118894,118894,11093200,118894
